Density_composition_average,IsBoron_composition_average,IsTransitionMetal_composition_average,NdValence_composition_average,NValance_composition_average,HeatVaporization_max_value,BoilingT_difference,HeatVaporization_difference,MeltingT_difference,NdValence_difference,NsUnfilled_difference,valence_difference,Site1_Density,Site1_HeatCapacityMass,Site1_HeatFusion,Site1_IsTransitionMetal,Site1_NdValence
0.579069323,-0.585599963,1.029882069,0.589535856,0.217570998,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,1.091651325,-0.887076926,-0.454471416,0.718013956,1.317680438
0.748401453,-0.585599963,1.029882069,1.176250154,0.653968875,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,1.091651325,-0.887076926,-0.454471416,0.718013956,1.317680438
0.804845496,-0.585599963,1.029882069,1.371821586,0.799434834,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,1.091651325,-0.887076926,-0.454471416,0.718013956,1.317680438
0.821973182,-0.585599963,1.029882069,1.176250154,0.653968875,0.56391502,0.544521314,0.505747776,-0.23559993,0.473851506,0.85784908,0.264503316,1.091651325,-0.887076926,-0.454471416,0.718013956,1.317680438
-0.860991846,-0.585599963,-0.9989612,-0.437214166,-0.613663053,-1.684369924,-1.368929027,-1.228444564,-1.429883953,1.005911258,0.85784908,-1.745034863,1.091651325,-0.887076926,-0.454471416,0.718013956,1.317680438
0.058889078,0.464229426,0.614749523,-0.647942385,-0.592050968,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
0.013549211,0.629991961,0.549202279,-0.685589886,-0.615325521,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-2.233221755,0.598418145,-2.091415267,-2.148464202,-1.860514129,-1.418640068,-0.453058277,-0.750370303,-1.318556057,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-0.0177169,0.748393772,0.502382819,-0.710036315,-0.629872117,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-1.815268726,0.835221766,-2.091415267,-2.148464202,-1.848045619,-1.418640068,-0.809162484,-0.816493007,-1.435135997,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-0.071319762,0.945730123,0.424350386,-0.754039887,-0.656887224,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-2.206276695,0.993090847,-2.091415267,-2.148464202,-1.839733278,-1.418640068,-0.453058277,-0.750370303,-1.318556057,-1.654387503,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
-0.143767766,1.087812296,0.368167033,-0.859648461,-0.739179395,0.56391502,0.109147336,0.220140354,0.23007105,-0.324238123,-1.16570621,-0.740265774,-1.139306181,1.562289099,-0.584429046,-1.392730589,-1.10635433
